customer_message,brand_reply,customer_tweet_id,brand_tweet_id,candidate_intent
"@AppleSupport What is wrong with ""Manage your Apple ID"" localization? https://t.co/RVFXmswQJ5",@568359 We’d like to help figure this out. In order to look at your account further please reach out to us here:  https://t.co/SDIe7UiyJN,1907882,1907881,apple_id_account_issue
@AppleSupport please release an update to speed up iPhone 5S running iOS 11. Laggy OS on 5S is irritating.,@645454 Thanks for contacting us. That is certainly not an experience we want you to have. Which version of iOS 11 are you running?,2207702,2207701,ios_update_issue
"@AppleSupport I cannot make calls out i cant get calls in  and my phone says no service constantly.
My sons phone keeps flickering out of apps and then wont do anything",@309447 We'll be happy to look into these issues with you. Please let us know in DM which iOS version is installed to get started. https://t.co/GDrqU22YpT,794567,794569,calls_network_issue
I think Apple broke 3D Touch sensitivity in the latest iOS update. I have to press way harder to get it to work now and the settings in General &gt; Accessibility &gt; 3D Touch don’t do anything. @AppleSupport,@251108 We're here to help. Please DM us with your device model and we'll assist you further. https://t.co/GDrqU22YpT,560449,560448,accessibility_feature_issue
"@AppleSupport please do something about these constant prompts for AppleID Verification, they're driving me nuts.",@174691 Surely! We're glad to help with those prompts. Which device is this occurring on &amp; what version of OS are you running?,247086,247083,apple_id_account_issue
@115858 why will my iPad mini not charge? The chargers work fine with m iPhone but nothing with the iPad???,@323928 This isn't what we expect to happen so let's look into this. Have you checked for any debris in your charging port?,858908,858907,purchase_billing_issue
@AppleSupport I sync itunes with my phone. I am not an Apple Music subscriber. I just want my music on my phone. Both iTunes and my phone have the latest updates.,@748061 Syncing takes the selected content from your computer and places it on your iPhone. Are you creating playlists on your iPhone separately and trying to sync it to iTunes? Let us know in a DM. https://t.co/GDrqU22YpT,2652480,2652479,apple_music_media_issue
@115858 Where can I report a major issue with your phones predictive text?,@259835 Please tell us more about what you're experiencing. We're here to help.,2623978,2623975,keyboard_autocorrect_issue
"Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. @115858 why have you broken my phone?! It worked fine!",@468491 We want to help. Reach out via DM using the link below and let us know what version of iOS 11 you're using. https://t.co/GDrqU22YpT,2350747,2350746,app_issue
"@115858 Am I the only one who is suffering for bugs on iOS 11.3?
Camera doesn’t work, wpp photos don’t save ok, the response is slow. Crying.",@547946 Taking photos helps us preserve so many memories. We'd like to help you get your iPhone back on the right foot. Send us a DM. https://t.co/GDrqU22YpT,1825377,1825376,ios_update_issue
