customer_message,brand_reply,customer_tweet_id,brand_tweet_id
@AppleSupport How do I revert to previous iOS? Can I Delete iOS 11?,@626538 Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,2128222,2128228
"Look y’all don’t own my I’s, okay!?@115858 I’m gonna need y’all to give those muthafuckas back before I️ see what that #Pixel2XL is all about Ight?!? Got me over feeling/looking like I’m still using T9word or some shit 🙄 Tf!","@699447 We recently released an iOS update, 11.1.1, that contains a fix for this issue. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",2438522,2438521
"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐","@170489 We want to make sure your iPhone is there for you when you need it. So we can get started, let's pair up in DM to take a closer look at this. https://t.co/GDrqU22YpT",228545,228544
"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",@509879 Alright. Does this seem to happen with any specific apps? What iOS version are you using? (Settings &gt; General &gt; About).,1761198,1761200
@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,"@163247 Let us know which apps you're having trouble with, and what happens when you try to open them. We're here for you!",292376,292375
👁’m gonna use 👁 when 👁 got tweet some shit that start with 👁 til @115858 get they shit together,@529418 We're happy to help. Check out this article for steps to help with this: https://t.co/xXaXeeSRt9,1758726,1758725
@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,@143274 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,122318,122317
"It’s crazy when I didn’t update my 7plus it worked perfect, nw it’s updated my joint freezing an everything. No @115858 I Dn’t want a new phn",@446386 We'd like to help if we can. Send us a DM with some details and we'll go from there. https://t.co/GDrqU22YpT,1403879,1403878
"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport? https://t.co/IeGMEewAIL",@224487 Let's see what's going on with Siri. Can you tell us in DM the current iOS version and device you're using with Siri? https://t.co/GDrqU22YpT,460863,460862
@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,"@776011 We'll get you to the right place to get some help. Check out this link:
https://t.co/LGiyy7sjW4
If that doesn't seem to be helpful, you'll want to reach out to our team at the iTunes Store. Find out how here:
https://t.co/SDIe7UiyJN",2777598,2777597
@498610 @115858 @AppleSupport Lol yoooo he @ them 😂 but facts answer us please 🙆🏽‍♂️,@498853 We'd like to help. Which app are you seeing these boxes in? DM us and let us know. https://t.co/GDrqU22YpT,1629784,1629783
"This is exactly what happened with my previous phone, but it was an official iOS update. Also it's not just me this is affecting @115858. https://t.co/lU4vWb63dX",@302598 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,2026057,2026056
Had another iPhone update but still seeing ! And boxed ? This is getting old @115858,@670141 Let's take a look at this issue together. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,2310635,2310634
@AppleSupport This glitch with the letter following H is affecting my ability to work on the road. Unacceptable.,@630167 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2143374,2143373
my Apple Music hasn’t worked since I got the newest update...what’s goin on @115858,@317222 We're here to help! Send us a DM with details on what you are experiencing to continue. https://t.co/GDrqU22YpT,827906,827905
@AppleSupport I updated to iOS 11.1.1 and I’m still seeing the “I” glitch with the question mark on social media such as Facebook and Twitter apps.,@667309 Thanks for making sure your iPhone has the latest software. We want to make sure we provide you the next best solution. Please meet us in DM so we can provide you a few additional steps. https://t.co/GDrqU22YpT,2298953,2298952
"@AppleSupport Itunes 12.7.1.14, there’s no unpdate option for me",@271148 Thanks for that info! That's up-to-date for sure. Can you tell us if this is with a particular podcast or with all? Are you missing ones that were there before or not able to download new ones? Check out this article as well: https://t.co/yie6qPpplH,637460,637459
@AppleSupport iOS 11.0.3 and still having the battery drain issue. Thanks for this Apple 😂,"@412302 Let's meet in DM where we can partner together to investigate, and offer the best path toward a solution. https://t.co/GDrqU22YpT",1245991,1245990
@AppleSupport @115858 you are providing very bad service to customer and moreover don’t even bother to reply on emails. Customer issues aren’t ur concern,@638196 We certainly want to get to the bottom of this with you. Please DM us details about your concerns to continue. https://t.co/GDrqU22YpT,2177356,2177355
"@AppleSupport I've tried that. When I hold the up volume button and power button down for over a minute, nothing happens. Do Apple Stores accept walk ins? Waiting 30 hours for my appointment without a functioning phone is a real problem.","@593907 The stores do have walk in queues, however, we are unable to estimate or determine the wait times. They change throughout the day depending on the store.",2560447,2560449
"@AppleSupport the new iOS is awful. My phone has to be restarted daily due to calls &amp; apps not working, and my home button stopped working",@558685 Thanks for reaching out. We'd like some details to help. Which iPhone model do these issues occur on? Let us know in a DM. https://t.co/GDrqU22YpT,1870673,1870672
