customer_message,brand_reply,customer_tweet_id,brand_tweet_id,intent
@AppleSupport How do I revert to previous iOS? Can I Delete iOS 11?,@626538 Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,2128222,2128228,ios_update_issue
@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,"@776011 We'll get you to the right place to get some help. Check out this link:
https://t.co/LGiyy7sjW4
If that doesn't seem to be helpful, you'll want to reach out to our team at the iTunes Store. Find out how here:
https://t.co/SDIe7UiyJN",2777598,2777597,purchase_billing_issue
"This is exactly what happened with my previous phone, but it was an official iOS update. Also it's not just me this is affecting @115858. https://t.co/lU4vWb63dX",@302598 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,2026057,2026056,ios_update_issue
my Apple Music hasn’t worked since I got the newest update...what’s goin on @115858,@317222 We're here to help! Send us a DM with details on what you are experiencing to continue. https://t.co/GDrqU22YpT,827906,827905,apple_music_media_issue
@AppleSupport I updated to iOS 11.1.1 and I’m still seeing the “I” glitch with the question mark on social media such as Facebook and Twitter apps.,@667309 Thanks for making sure your iPhone has the latest software. We want to make sure we provide you the next best solution. Please meet us in DM so we can provide you a few additional steps. https://t.co/GDrqU22YpT,2298953,2298952,ios_update_issue
@AppleSupport iOS 11.0.3 and still having the battery drain issue. Thanks for this Apple 😂,"@412302 Let's meet in DM where we can partner together to investigate, and offer the best path toward a solution. https://t.co/GDrqU22YpT",1245991,1245990,battery_power_issue
"@AppleSupport I've tried that. When I hold the up volume button and power button down for over a minute, nothing happens. Do Apple Stores accept walk ins? Waiting 30 hours for my appointment without a functioning phone is a real problem.","@593907 The stores do have walk in queues, however, we are unable to estimate or determine the wait times. They change throughout the day depending on the store.",2560447,2560449,device_hardware_issue
"@AppleSupport the new iOS is awful. My phone has to be restarted daily due to calls &amp; apps not working, and my home button stopped working",@558685 Thanks for reaching out. We'd like some details to help. Which iPhone model do these issues occur on? Let us know in a DM. https://t.co/GDrqU22YpT,1870673,1870672,calls_network_issue
@AppleSupport I have a backup on iCloud - updates nightly. Is that sufficient?,"@776600 That'll do it! You'll want to be sure that any data that was saved after your last backup is included as well. When you're ready, you can go to Settings &gt; [your name] &gt; iCloud &gt; iCloud Backup. 
Let us know if you have any other questions for us. We're here for you.",2780602,2780604,icloud_issue
@AppleSupport will photos get copied to new mobile via new ios 11 new phone setup without iCloud photo library activated ?,"@740284 Great question. To access your iCloud Photos on a new device, you'll need to turn on iCloud Photo Library. Check out the following article for more information: https://t.co/8YUslsnsM5",2619740,2619739,icloud_issue
"Everyone told me to switch to @115858 that I️ won’t regret leaving Galaxy. Less than a month w/ 8+, there’s glitches with just typing “I️”",@599689 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,2027934,2027933,keyboard_autocorrect_issue
@121122 why does my iPhone keep shutting down? Brings up a loading screen every now and again?? @AppleSupport was really hot about an hour ago as well and it wasn’t on charge was just on the side,"@246273 Thank you for that information.  Create a current iTunes or iCloud backup, and follow the steps in this article: https://t.co/osZOKKTalm.",543648,543647,purchase_billing_issue
@AppleSupport will there be an update on ios11? My phone is running very slow now and I have plenty of gb,"@619200 We’d like to look into this with you. To start, please send us a DM letting us know which iPhone you’re using. https://t.co/GDrqU22YpT",2095926,2095925,ios_update_issue
"@AppleSupport apple store employees i spoke w/ recommended against using my mbpro 87W adapter to fast charge my iphone x, although it is listed as compatible on the apple site. dunno which to believe…any downside to using this adapter?","@668889 Hi there, and thanks for reaching out to us! You can use your USB-C Power Adapter to fast charge your iPhone. You can find this information listed here: https://t.co/M0KamLrtwG

Let us know if you have any other questions!",2305488,2305486,purchase_billing_issue
@115858 since the #ios11update my phone is now actually laggy! Can’t listen to podcasts and do something else now! Absolutely crap update!!!,@567890 We can help out with the iPhone performance. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,1905814,1905813,apple_music_media_issue
@AppleSupport @115858 Since the new iOS update my phone keeps freezing - do you know why?,"@365418 Let's get that taken care of together. Is this behavior happening with all apps, or is it isolated to certain specific apps?",1037449,1037448,ios_update_issue
