customer_message,brand_reply,customer_tweet_id,brand_tweet_id,intent
@606643 @115858 @AppleSupport Since I’ve updated my music won’t play in my car!! 😡 Any ideas @AppleSupport ??? Sorry to jump on your tweet 😬 I’m thinking @1647 too 🤔,"@606642 Let's look into this together. To start, can you DM us any additional info on what you're experiencing? We'll start from there. https://t.co/GDrqU2kzhr",2051350,2051349,battery_power_issue
"@115858 @AppleSupport since I installed the new IOS my phone is crashing everyday, stopped working and start getting hot. What is going on??",@607379 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,2053706,2053705,apple_id_account_issue
@AppleSupport Is there an icloud problem? I'm trying to sign on from my desktop and it keeps telling me there is a connection issue,@684184 Hey there! Thanks for reaching out to us. We know how important it is to be able to access your iCloud account and we'd be happy to help. Can you tell us which browser you're using on your desktop to access https://t.co/tmRhWEkIq4?,2371093,2371092,calls_network_issue
My iPhone X is already broken after like three weeks. It just turned off and never turned back on. KAY COOL @115858 Glad I'm insured.,"@225066 Having your iPhone not power on is definitely not what you expect from your new iPhone X. Let's see how we can help. Try the steps in the article below, and send us a DM with the results: https://t.co/8MvHMFZ83h https://t.co/GDrqU22YpT",463107,463105,apple_id_account_issue
Lost the ability to make and receive calls. Add it to the list @115858 @AppleSupport #iOS11,@379258 We got your back! Meet us in DM so we can gather some information and help you out. https://t.co/GDrqU22YpT,1098680,1098679,ios_update_issue
"@AppleSupport Yes, I’ve done both. It’s been saying about 1 hour remaining for the past 2 hours.","@645456 Do you have a computer with iTunes installed, or a computer you can install iTunes on? https://t.co/GDrqU22YpT",2207708,2207707,app_issue
"@AppleSupport It might not even be webpage, maybe a demanding App like photoshop",@396526 We'd like to dig a little deeper into your issue. Reach out via DM using the link below. https://t.co/GDrqU22YpT,1175537,1175538,icloud_issue
"@AppleSupport please do something about these constant prompts for AppleID Verification, they're driving me nuts.",@174691 Surely! We're glad to help with those prompts. Which device is this occurring on &amp; what version of OS are you running?,247086,247083,battery_power_issue
".@115858, please fix the 'i' bug. I can't get over it autocorrecting into a weird symbol.",@517081 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1706116,1706115,app_issue
@115858 let’s get it together please. #autocorrectfail #alphabetmess,@631982 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xU1AGHStV6,2150335,2150334,calls_network_issue
"@AppleSupport Even after agreeing to the terms and conditions 10 times why does it keep on prompting me to do that? 
PS: Wi-Fi is working perfectly fine so it’s not an connectivity issue https://t.co/KbIQAlXPDi","@775353 Hey, let's look into what's going on with that alert. DM us the iOS version currently installed on your device and we'll work together from there. https://t.co/GDrqU22YpT",2774351,2774350,apple_music_media_issue
@AppleSupport how do I keep @136083 off of my #iphone ? https://t.co/zhcM9DatIT,@771700 Hi there! We're happy to help you curate your News widget with stories that interest you. You can control what you see using the steps here: https://t.co/CZ9gt0JbFV,2757501,2757499,keyboard_autocorrect_issue
@AppleSupport why does the letter after h show up like this... I️ ???????,@460640 We'd love to help. DM us at the link below for further assistance. https://t.co/GDrqU22YpT,1467530,1467529,icloud_issue
"@AppleSupport on my iPad 2 (iOS 9.3.5), I can't backup to iCloud, iBooks doesn't show my books in iCloud. Can't see what I've purchased in AppStore, iBooks, iTunes, Music, Videos. I reset it and found no iCloud backups when there should be. Any ideas?","@136591 We'd like to take a look into this with you, reach us in DM. https://t.co/GDrqU22YpT",94781,94780,device_hardware_issue
